Monthly Ad Spend,Number of Website Visits,Average Customer Rating,Competition,Income,Season,Special Events,Monthly Revenue
11427.456574619173,4796,3.729306316250236,248,81.75125367581806,Spring,0,29810.34309416415
12452.504145361234,8699,3.685710184502481,381,64.30874336877064,Winter,1,64689.09850666727
11352.78047694104,4571,2.6896299790746583,300,107.71993412344106,Fall,0,46170.0135040028
9049.44118743919,4001,1.4991857915772029,173,99.67337148761304,Fall,1,36450.12996739641
9314.157013991158,3161,4.589733306917038,408,71.24310744506604,Winter,1,32959.89425632348
17943.687014859515,5385,2.67556970607366,373,50.38768911843131,Spring,0,44183.334315888496
8285.388857689777,1417,3.014111279129608,112,61.83530946425063,Summer,0,23167.694566898277
16042.775723570629,4882,3.4833662497699063,210,85.35237385256946,Winter,1,34181.118860172064
11049.003475305186,4364,4.331953904222571,348,168.89906709004583,Spring,0,70512.95490999978
11792.846660784711,1735,3.258388438562886,294,127.21436744674048,Spring,1,44393.64685533506
18586.33612756056,4865,1.363877357182254,352,118.32915969360182,Fall,0,58943.56280287234
2655.456694329273,6042,1.9833972076513349,293,104.34973643302722,Spring,1,65889.6277289952
1384.1495513661887,6223,3.842021314520794,161,180.2189843808164,Fall,0,43531.76288325825
16819.777065410824,2317,3.020453754470955,104,128.23518086989162,Winter,1,25011.2903085994
15784.97826804716,5953,2.9150905472708324,329,98.90703187745372,Fall,1,49612.80114043757
17530.230816689564,5296,1.9757632754675656,384,88.83225263611713,Winter,1,53595.170886426415
19593.74850242252,6058,3.888603062800416,324,183.5742571461904,Winter,1,76972.54450930397
16184.01272011775,5845,1.451153059323949,296,126.0917108231282,Spring,0,62826.16394612887
9768.107882805703,2280,4.961813237445941,143,72.79130594884238,Summer,0,34123.37680457181
15830.054349442653,4917,4.381494148428816,400,118.30970635918608,Fall,1,48107.01828131042
3247.214091509731,3484,3.1380357600231683,295,72.46105189920554,Summer,1,23755.79958792537
13158.499405222952,4899,2.698211824232038,495,70.91371244464717,Winter,0,38068.58911979995
3723.7124607718815,3205,2.1458585298394706,394,51.954029825326266,Fall,1,40828.09521232587
10915.11811325136,3282,4.517669848096672,375,162.77741331318785,Fall,1,83187.84966546767
8878.576859819948,3202,2.1000256028027344,160,85.01403540034363,Fall,1,41263.499792357805
9666.856312114422,4150,2.348596454659806,290,32.77154390927228,Winter,1,13636.642371216109
11800.24502850432,3340,1.7610420356933298,339,86.58126234401513,Fall,0,11701.488736078983
12735.074444441663,6571,3.2859897858498224,184,122.38678816827748,Fall,0,27033.522778066035
12629.818731726007,4885,3.931260496146782,360,182.12777074609272,Fall,0,80322.6925494076
12721.745940620382,4217,1.3929996538081468,298,36.88784514459843,Winter,1,28763.546670572767
18931.21349177786,6881,2.464470200297263,317,173.2711304087395,Spring,0,59002.23514385365
13954.585682966184,5810,4.570559212189286,80,124.71172698627493,Summer,0,36299.15401679116
7830.650110901935,5996,1.3377533056957915,282,129.90337752176734,Summer,0,39994.37161361005
9303.607122187488,4947,1.6619329133584526,210,192.68415824075987,Summer,0,46543.2268902373
14254.992722618032,1623,3.5016704414046744,207,51.80812809449392,Spring,1,11361.945508846704
2144.283960956127,4775,3.4911559764169007,392,77.02940604608119,Summer,0,43834.2938024286
13668.567593467686,3935,4.352908177815719,190,69.10880764814203,Summer,1,24390.573287537376
4997.268660402977,7023,1.567945901701055,266,128.57107620207378,Spring,1,48627.775004553965
3449.5996554422127,3684,2.037495274107998,345,153.73670567344394,Spring,0,64480.87693372319
6993.138667559493,5936,2.7098456227730234,211,39.01666509764901,Spring,1,25360.871305548186
7910.504647909829,8471,1.0036131420849983,423,102.44200142827265,Fall,0,70540.69099793947
11833.738637939714,3664,1.2792572118387795,444,187.1266368844005,Summer,0,92322.2611275936
9333.428755784087,8363,1.9059651117640863,211,108.64077161568076,Winter,0,27404.126126858828
19779.102923125294,3294,2.924407856063247,275,168.99586226007648,Summer,1,63963.98444903281
2938.851404212533,5045,2.0060909526744517,222,49.036567153426745,Spring,1,32528.900619441243
13409.05818384257,3324,4.698491248570514,373,135.6302203056301,Fall,1,61050.94525896663
5812.54044825586,3817,4.89914904293884,501,105.33595263485176,Spring,1,73168.6304204192
9859.90468426982,3664,2.799446135630315,210,143.71538004198544,Winter,0,37232.5784531803
5644.086248030452,5653,1.9085152675972945,433,161.06461156784164,Fall,0,60715.22780429393
3097.127682121797,9451,4.105334726637785,319,104.86036907723954,Winter,0,67964.20816651218
13470.262199840196,7741,2.093398831170364,360,139.24364876970105,Summer,0,74703.43660091999
3625.4760756236624,3980,2.5223314716811385,387,94.84824763142272,Spring,1,58908.50896861752
4735.064871921017,5649,2.914303433927399,497,187.5984770252355,Fall,1,112124.81477889592
16598.87136711077,5061,4.9844017612049525,293,99.78890841789202,Fall,0,44487.18772661196
2844.924240068164,4860,1.9288390206543693,213,189.71011382103976,Spring,0,49886.146475089045
16920.953242477273,5103,2.4136948129926754,330,30.33341792437503,Winter,1,23752.30857922243
2825.8697499852983,6734,2.051564708042044,402,86.43508540919382,Summer,0,46420.884024320985
19552.72983525452,3303,2.4444537465748413,324,172.49494682193486,Summer,1,78739.25910462231
9904.37283130633,4348,1.4032180675784822,222,106.74621937713238,Summer,1,18452.096818409744
19558.460675616407,5940,2.4392390689641887,308,89.22568550851906,Summer,1,35926.491765908075
12492.064875155873,5622,4.551460125857554,287,129.9287903999185,Winter,1,72717.40266919378
15046.008008567733,5479,2.194359391385796,326,98.79488888963888,Fall,0,38354.15821453154
1744.5680528320927,4260,2.4877391193962755,133,86.01561472789564,Fall,1,16259.228139361552
6373.332288951782,6945,4.7778966577517386,355,75.21546185757555,Summer,1,49015.56810936984
6626.663752920754,5812,3.0669548592721934,344,187.107545013658,Spring,0,82315.99082420614
3255.8266601306373,4613,4.108770913613762,299,193.1443983464043,Summer,0,59284.41900348228
7041.680408485545,6511,1.4927185954180158,119,46.80120143001112,Spring,0,35427.1573929269
8870.99689577873,3921,2.857961412883369,298,155.02036008775485,Winter,0,44230.27649597655
2218.8024306269026,3500,1.4729445149434652,406,141.81965689699103,Summer,0,65323.19948620388
14156.970268030376,5065,1.93447258007832,213,137.26467311870687,Winter,1,47567.90462898927
11765.427629924929,-165,1.5674690389610344,101,35.58336876963024,Fall,0,7883.580429829562
6042.400327849463,2692,2.447204956676557,145,76.48716565500901,Summer,0,18617.898372184587
10941.713015867294,4304,2.5265572815837034,331,156.8374879157468,Spring,0,63537.05793859247
2784.869704410392,2293,4.789234327332963,337,114.2871609278176,Fall,0,47329.22738772838
11942.983415567409,2934,2.056502924750117,388,34.06101868379968,Winter,1,39794.162524538886
